Trial,Agent,Matched_Partner,Stability,Efficiency
1,Student_A,School_B,True,True
1,Student_B,School_A,True,True
1,Student_C,School_C,True,True
1,Student_D,School_D,True,True
1,Student_E,School_E,True,True
2,Student_A,School_B,False,False
2,Student_B,School_A,False,False
2,Student_C,School_E,False,False
2,Student_D,School_C,False,False
2,Student_E,School_D,False,False
3,Student_A,School_B,False,False
3,Student_B,School_A,False,False
3,Student_C,School_D,False,False
3,Student_D,School_C,False,False
3,Student_E,School_E,False,False
4,Student_A,School_B,False,False
4,Student_B,School_A,False,False
4,Student_C,School_E,False,False
4,Student_D,School_D,False,False
4,Student_E,Unmatched,False,False
5,Student_A,School_B,True,True
5,Student_B,School_A,True,True
5,Student_C,School_C,True,True
5,Student_D,School_D,True,True
5,Student_E,School_E,True,True
6,Student_A,School_B,True,True
6,Student_B,School_A,True,True
6,Student_C,School_C,True,True
6,Student_D,School_D,True,True
6,Student_E,School_E,True,True
7,Student_A,School_B,True,True
7,Student_B,School_A,True,True
7,Student_C,School_C,True,True
7,Student_D,School_D,True,True
7,Student_E,School_E,True,True
8,Student_A,School_B,False,False
8,Student_B,School_A,False,False
8,Student_C,School_D,False,False
8,Student_D,School_C,False,False
8,Student_E,School_E,False,False
9,Student_A,School_B,False,False
9,Student_B,School_C,False,False
9,Student_C,School_A,False,False
9,Student_D,School_D,False,False
9,Student_E,School_E,False,False
10,Student_A,School_B,True,True
10,Student_B,School_A,True,True
10,Student_C,School_C,True,True
10,Student_D,School_D,True,True
10,Student_E,School_E,True,True
11,Student_A,School_B,False,False
11,Student_B,School_A,False,False
11,Student_C,School_D,False,False
11,Student_D,School_C,False,False
11,Student_E,School_E,False,False
12,Student_A,School_B,True,True
12,Student_B,School_A,True,True
12,Student_C,School_C,True,True
12,Student_D,School_D,True,True
12,Student_E,School_E,True,True
13,Student_A,School_B,False,False
13,Student_B,School_E,False,False
13,Student_C,School_C,False,False
13,Student_D,School_D,False,False
13,Student_E,School_A,False,False
14,Student_A,School_B,False,False
14,Student_B,School_A,False,False
14,Student_C,School_E,False,False
14,Student_D,School_D,False,False
14,Student_E,School_C,False,False
15,Student_A,School_B,True,True
15,Student_B,School_A,True,True
15,Student_C,School_C,True,True
15,Student_D,School_D,True,True
15,Student_E,School_E,True,True
16,Student_A,School_B,False,False
16,Student_B,School_A,False,False
16,Student_C,School_E,False,False
16,Student_D,School_D,False,False
16,Student_E,School_C,False,False
17,Student_A,School_B,True,True
17,Student_B,School_A,True,True
17,Student_C,School_C,True,True
17,Student_D,School_D,True,True
17,Student_E,School_E,True,True
18,Student_A,School_B,True,True
18,Student_B,School_A,True,True
18,Student_C,School_C,True,True
18,Student_D,School_D,True,True
18,Student_E,School_E,True,True
19,Student_A,School_B,False,False
19,Student_B,School_A,False,False
19,Student_C,School_E,False,False
19,Student_D,School_D,False,False
19,Student_E,School_C,False,False
20,Student_A,School_B,False,False
20,Student_B,School_A,False,False
20,Student_C,School_D,False,False
20,Student_D,School_E,False,False
20,Student_E,School_C,False,False
21,Student_A,School_B,False,False
21,Student_B,School_A,False,False
21,Student_C,School_C,False,False
21,Student_D,School_E,False,False
21,Student_E,School_D,False,False
22,Student_A,School_B,False,False
22,Student_B,School_C,False,False
22,Student_C,School_A,False,False
22,Student_D,School_E,False,False
22,Student_E,School_D,False,False
23,Student_A,School_B,False,False
23,Student_B,School_A,False,False
23,Student_C,School_E,False,False
23,Student_D,School_D,False,False
23,Student_E,School_C,False,False
24,Student_A,School_B,True,True
24,Student_B,School_A,True,True
24,Student_C,School_C,True,True
24,Student_D,School_D,True,True
24,Student_E,School_E,True,True
25,Student_A,School_B,True,True
25,Student_B,School_A,True,True
25,Student_C,School_C,True,True
25,Student_D,School_D,True,True
25,Student_E,School_E,True,True
26,Student_A,School_B,True,True
26,Student_B,School_A,True,True
26,Student_C,School_C,True,True
26,Student_D,School_D,True,True
26,Student_E,School_E,True,True
27,Student_A,School_B,False,False
27,Student_B,School_A,False,False
27,Student_C,School_D,False,False
27,Student_D,School_C,False,False
27,Student_E,School_E,False,False
28,Student_A,School_B,True,True
28,Student_B,School_A,True,True
28,Student_C,School_C,True,True
28,Student_D,School_D,True,True
28,Student_E,School_E,True,True
29,Student_A,School_B,False,False
29,Student_B,School_A,False,False
29,Student_C,School_E,False,False
29,Student_D,School_D,False,False
29,Student_E,School_C,False,False
30,Student_A,School_B,True,True
30,Student_B,School_A,True,True
30,Student_C,School_C,True,True
30,Student_D,School_D,True,True
30,Student_E,School_E,True,True
31,Student_A,School_B,False,False
31,Student_B,School_A,False,False
31,Student_C,School_C,False,False
31,Student_D,School_E,False,False
31,Student_E,School_D,False,False
32,Student_A,School_B,True,True
32,Student_B,School_A,True,True
32,Student_C,School_C,True,True
32,Student_D,School_D,True,True
32,Student_E,School_E,True,True
33,Student_A,School_B,True,True
33,Student_B,School_A,True,True
33,Student_C,School_C,True,True
33,Student_D,School_D,True,True
33,Student_E,School_E,True,True
34,Student_A,School_B,True,True
34,Student_B,School_A,True,True
34,Student_C,School_C,True,True
34,Student_D,School_D,True,True
34,Student_E,School_E,True,True
35,Student_A,School_B,False,False
35,Student_B,School_C,False,False
35,Student_C,School_A,False,False
35,Student_D,School_D,False,False
35,Student_E,School_E,False,False
36,Student_A,School_B,True,True
36,Student_B,School_A,True,True
36,Student_C,School_C,True,True
36,Student_D,School_D,True,True
36,Student_E,School_E,True,True
37,Student_A,School_B,True,True
37,Student_B,School_A,True,True
37,Student_C,School_C,True,True
37,Student_D,School_D,True,True
37,Student_E,School_E,True,True
38,Student_A,School_B,True,True
38,Student_B,School_A,True,True
38,Student_C,School_C,True,True
38,Student_D,School_D,True,True
38,Student_E,School_E,True,True
39,Student_A,School_B,True,True
39,Student_B,School_A,True,True
39,Student_C,School_C,True,True
39,Student_D,School_D,True,True
39,Student_E,School_E,True,True
40,Student_A,School_B,True,True
40,Student_B,School_A,True,True
40,Student_C,School_C,True,True
40,Student_D,School_D,True,True
40,Student_E,School_E,True,True
41,Student_A,School_B,False,False
41,Student_B,School_A,False,False
41,Student_C,School_E,False,False
41,Student_D,School_D,False,False
41,Student_E,School_C,False,False
42,Student_A,School_B,True,True
42,Student_B,School_A,True,True
42,Student_C,School_C,True,True
42,Student_D,School_D,True,True
42,Student_E,School_E,True,True
43,Student_A,School_B,False,False
43,Student_B,School_A,False,False
43,Student_C,School_C,False,False
43,Student_D,School_E,False,False
43,Student_E,School_D,False,False
44,Student_A,School_B,True,True
44,Student_B,School_A,True,True
44,Student_C,School_C,True,True
44,Student_D,School_D,True,True
44,Student_E,School_E,True,True
45,Student_A,School_B,True,True
45,Student_B,School_A,True,True
45,Student_C,School_C,True,True
45,Student_D,School_D,True,True
45,Student_E,School_E,True,True
46,Student_A,School_B,False,False
46,Student_B,School_C,False,False
46,Student_C,School_A,False,False
46,Student_D,School_D,False,False
46,Student_E,School_E,False,False
47,Student_A,School_B,False,False
