Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Student_A,School_B,False,False,School_B,1
1,Student_B,Unmatched,False,False,Unmatched,-
1,Student_C,School_C,False,False,School_C,1
1,Student_D,School_D,False,False,School_D,1
1,Student_E,School_E,False,False,School_E,1
2,Student_A,School_B,False,False,School_B,1
2,Student_B,School_A,False,False,School_A,1
2,Student_C,Unmatched,False,False,Unmatched,-
2,Student_D,School_D,False,False,School_D,1
2,Student_E,School_E,False,False,School_E,1
3,Student_A,School_B,True,True,School_B,1
3,Student_B,School_A,True,True,School_A,1
3,Student_C,School_C,True,True,School_C,1
3,Student_D,School_D,True,True,School_D,1
3,Student_E,School_E,True,True,School_E,1
4,Student_A,School_B,True,True,School_B,1
4,Student_B,School_A,True,True,School_A,1
4,Student_C,School_C,True,True,School_C,1
4,Student_D,School_D,True,True,School_D,1
4,Student_E,School_E,True,True,School_E,1
5,Student_A,School_B,False,False,School_B,1
5,Student_B,School_A,False,False,School_A,1
5,Student_C,School_C,False,False,School_C,1
5,Student_D,School_D,False,False,School_D,1
5,Student_E,Unmatched,False,False,Unmatched,-
6,Student_A,School_B,True,True,School_B,1
6,Student_B,School_A,True,True,School_A,1
6,Student_C,School_C,True,True,School_C,1
6,Student_D,School_D,True,True,School_D,1
6,Student_E,School_E,True,True,School_E,1
7,Student_A,School_B,True,True,School_B,1
7,Student_B,School_A,True,True,School_A,1
7,Student_C,School_C,True,True,School_C,1
7,Student_D,School_D,True,True,School_D,1
7,Student_E,School_E,True,True,School_E,1
8,Student_A,School_B,True,True,School_B,1
8,Student_B,School_A,True,True,School_A,1
8,Student_C,School_C,True,True,School_C,1
8,Student_D,School_D,True,True,School_D,1
8,Student_E,School_E,True,True,School_E,1
9,Student_A,School_B,True,True,School_B,1
9,Student_B,School_A,True,True,School_A,1
9,Student_C,School_C,True,True,School_C,1
9,Student_D,School_D,True,True,School_D,1
9,Student_E,School_E,True,True,School_E,1
10,Student_A,School_B,True,True,School_B,1
10,Student_B,School_A,True,True,School_A,1
10,Student_C,School_C,True,True,School_C,1
10,Student_D,School_D,True,True,School_D,1
10,Student_E,School_E,True,True,School_E,1
11,Student_A,School_B,True,True,School_B,1
11,Student_B,School_A,True,True,School_A,1
11,Student_C,School_C,True,True,School_C,1
11,Student_D,School_D,True,True,School_D,1
11,Student_E,School_E,True,True,School_E,1
12,Student_A,School_B,False,False,School_B,1
12,Student_B,School_A,False,False,School_A,1
12,Student_C,School_C,False,False,School_C,1
12,Student_D,School_D,False,False,School_D,1
12,Student_E,Unmatched,False,False,Unmatched,-
13,Student_A,School_B,True,True,School_B,1
13,Student_B,School_A,True,True,School_A,1
13,Student_C,School_C,True,True,School_C,1
13,Student_D,School_D,True,True,School_D,1
13,Student_E,School_E,True,True,School_E,1
14,Student_A,School_B,True,True,School_B,1
14,Student_B,School_A,True,True,School_A,1
14,Student_C,School_C,True,True,School_C,1
14,Student_D,School_D,True,True,School_D,1
14,Student_E,School_E,True,True,School_E,1
15,Student_A,School_B,True,True,School_B,1
15,Student_B,School_A,True,True,School_A,1
15,Student_C,School_C,True,True,School_C,1
15,Student_D,School_D,True,True,School_D,1
15,Student_E,School_E,True,True,School_E,1
16,Student_A,School_B,True,True,School_B,1
16,Student_B,School_A,True,True,School_A,1
16,Student_C,School_C,True,True,School_C,1
16,Student_D,School_D,True,True,School_D,1
16,Student_E,School_E,True,True,School_E,1
17,Student_A,School_B,False,False,School_B,1
17,Student_B,School_A,False,False,School_A,1
17,Student_C,Unmatched,False,False,Unmatched,-
17,Student_D,School_D,False,False,School_D,1
17,Student_E,School_E,False,False,School_E,1
18,Student_A,School_B,True,True,School_B,1
18,Student_B,School_A,True,True,School_A,1
18,Student_C,School_C,True,True,School_C,1
18,Student_D,School_D,True,True,School_D,1
18,Student_E,School_E,True,True,School_E,1
19,Student_A,School_B,True,True,School_B,1
19,Student_B,School_A,True,True,School_A,1
19,Student_C,School_C,True,True,School_C,1
19,Student_D,School_D,True,True,School_D,1
19,Student_E,School_E,True,True,School_E,1
20,Student_A,School_B,True,True,School_B,1
20,Student_B,School_A,True,True,School_A,1
20,Student_C,School_C,True,True,School_C,1
20,Student_D,School_D,True,True,School_D,1
20,Student_E,School_E,True,True,School_E,1
21,Student_A,School_B,False,False,School_B,1
21,Student_B,School_A,False,False,School_A,1
21,Student_C,School_C,False,False,School_C,1
21,Student_D,School_D,False,False,School_D,1
21,Student_E,Unmatched,False,False,Unmatched,-
22,Student_A,School_B,True,True,School_B,1
22,Student_B,School_A,True,True,School_A,1
22,Student_C,School_C,True,True,School_C,1
22,Student_D,School_D,True,True,School_D,1
22,Student_E,School_E,True,True,School_E,1
23,Student_A,School_B,True,True,School_B,1
23,Student_B,School_A,True,True,School_A,1
23,Student_C,School_C,True,True,School_C,1
23,Student_D,School_D,True,True,School_D,1
23,Student_E,School_E,True,True,School_E,1
24,Student_A,School_B,True,True,School_B,1
24,Student_B,School_A,True,True,School_A,1
24,Student_C,School_C,True,True,School_C,1
24,Student_D,School_D,True,True,School_D,1
24,Student_E,School_E,True,True,School_E,1
25,Student_A,School_B,True,True,School_B,1
25,Student_B,School_A,True,True,School_A,1
25,Student_C,School_C,True,True,School_C,1
25,Student_D,School_D,True,True,School_D,1
25,Student_E,School_E,True,True,School_E,1
26,Student_A,School_B,True,True,School_B,1
26,Student_B,School_A,True,True,School_A,1
26,Student_C,School_C,True,True,School_C,1
26,Student_D,School_D,True,True,School_D,1
26,Student_E,School_E,True,True,School_E,1
27,Student_A,School_B,True,True,School_B,1
27,Student_B,School_A,True,True,School_A,1
27,Student_C,School_C,True,True,School_C,1
27,Student_D,School_D,True,True,School_D,1
27,Student_E,School_E,True,True,School_E,1
28,Student_A,School_B,True,True,School_B,1
28,Student_B,School_A,True,True,School_A,1
28,Student_C,School_C,True,True,School_C,1
28,Student_D,School_D,True,True,School_D,1
28,Student_E,School_E,True,True,School_E,1
29,Student_A,School_B,False,False,School_B,1
29,Student_B,School_A,False,False,School_A,1
29,Student_C,School_D,False,False,School_D,4
29,Student_D,School_C,False,False,School_C,3
29,Student_E,School_E,False,False,School_E,1
30,Student_A,School_B,True,True,School_B,1
30,Student_B,School_A,True,True,School_A,1
30,Student_C,School_C,True,True,School_C,1
30,Student_D,School_D,True,True,School_D,1
30,Student_E,School_E,True,True,School_E,1
31,Student_A,School_B,False,False,School_B,1
31,Student_B,School_A,False,False,School_A,1
31,Student_C,School_C,False,False,School_C,1
31,Student_D,School_D,False,False,School_D,1
31,Student_E,Unmatched,False,False,Unmatched,-
32,Student_A,School_B,True,True,School_B,1
32,Student_B,School_A,True,True,School_A,1
32,Student_C,School_C,True,True,School_C,1
32,Student_D,School_D,True,True,School_D,1
32,Student_E,School_E,True,True,School_E,1
33,Student_A,School_B,True,True,School_B,1
33,Student_B,School_A,True,True,School_A,1
33,Student_C,School_C,True,True,School_C,1
33,Student_D,School_D,True,True,School_D,1
33,Student_E,School_E,True,True,School_E,1
34,Student_A,School_B,True,True,School_B,1
34,Student_B,School_A,True,True,School_A,1
34,Student_C,School_C,True,True,School_C,1
34,Student_D,School_D,True,True,School_D,1
34,Student_E,School_E,True,True,School_E,1
35,Student_A,School_B,False,False,School_B,1
35,Student_B,School_A,False,False,School_A,1
35,Student_C,School_C,False,False,School_C,1
35,Student_D,School_D,False,False,School_D,1
35,Student_E,Unmatched,False,False,Unmatched,-
36,Student_A,School_B,True,True,School_B,1
36,Student_B,School_A,True,True,School_A,1
36,Student_C,School_C,True,True,School_C,1
36,Student_D,School_D,True,True,School_D,1
36,Student_E,School_E,True,True,School_E,1
37,Student_A,School_B,False,False,School_B,1
37,Student_B,School_A,False,False,School_A,1
37,Student_C,School_E,False,False,School_E,5
37,Student_D,School_D,False,False,School_D,1
37,Student_E,School_C,False,False,School_C,4
38,Student_A,School_B,False,False,School_B,1
38,Student_B,School_C,False,False,School_C,2
38,Student_C,School_A,False,False,School_A,3
38,Student_D,School_D,False,False,School_D,1
38,Student_E,School_E,False,False,School_E,1
39,Student_A,School_B,True,True,School_B,1
39,Student_B,School_A,True,True,School_A,1
39,Student_C,School_C,True,True,School_C,1
39,Student_D,School_D,True,True,School_D,1
39,Student_E,School_E,True,True,School_E,1
40,Student_A,School_B,False,False,School_B,1
40,Student_B,School_A,False,False,School_A,1
40,Student_C,Unmatched,False,False,Unmatched,-
40,Student_D,School_D,False,False,School_D,1
40,Student_E,School_E,False,False,School_E,1
41,Student_A,School_B,False,False,School_B,1
41,Student_B,School_A,False,False,School_A,1
41,Student_C,School_C,False,False,School_C,1
41,Student_D,School_D,False,False,School_D,1
41,Student_E,Unmatched,False,False,Unmatched,-
42,Student_A,School_B,False,False,School_B,1
42,Student_B,Unmatched,False,False,Unmatched,-
42,Student_C,School_C,False,False,School_C,1
42,Student_D,School_D,False,False,School_D,1
42,Student_E,School_E,False,False,School_E,1
43,Student_A,School_B,False,False,School_B,1
43,Student_B,School_A,False,False,School_A,1
43,Student_C,School_C,False,False,School_C,1
43,Student_D,School_D,False,False,School_D,1
43,Student_E,Unmatched,False,False,Unmatched,-
44,Student_A,School_B,False,False,School_B,1
44,Student_B,School_A,False,False,School_A,1
44,Student_C,Unmatched,False,False,Unmatched,-
44,Student_D,School_D,False,False,School_D,1
44,Student_E,School_E,False,False,School_E,1
45,Student_A,School_B,True,True,School_B,1
45,Student_B,School_A,True,True,School_A,1
45,Student_C,School_C,True,True,School_C,1
45,Student_D,School_D,True,True,School_D,1
45,Student_E,School_E,True,True,School_E,1
46,Student_A,School_B,True,True,School_B,1
46,Student_B,School_A,True,True,School_A,1
46,Student_C,School_C,True,True,School_C,1
46,Student_D,School_D,True,True,School_D,1
46,Student_E,School_E,True,True,School_E,1
47,Student_A,School_B,False,False,School_B,1
47,Student_B,School_A,False,False,School_A,1
47,Student_C,School_C,False,False,School_C,1
47,Student_D,School_D,False,False,School_D,1
47,Student_E,Unmatched,False,False,Unmatched,-
48,Student_A,School_B,False,False,School_B,1
48,Student_B,School_A,False,False,School_A,1
48,Student_C,Unmatched,False,False,Unmatched,-
48,Student_D,Unmatched,False,False,Unmatched,-
48,Student_E,School_E,False,False,School_E,1
49,Student_A,School_B,False,False,School_B,1
49,Student_B,School_A,False,False,School_A,1
49,Student_C,Unmatched,False,False,Unmatched,-
49,Student_D,School_D,False,False,School_D,1
49,Student_E,School_E,False,False,School_E,1
50,Student_A,School_B,True,True,School_B,1
50,Student_B,School_A,True,True,School_A,1
50,Student_C,School_C,True,True,School_C,1
50,Student_D,School_D,True,True,School_D,1
50,Student_E,School_E,True,True,School_E,1
51,Student_A,School_B,True,True,School_B,1
51,Student_B,School_A,True,True,School_A,1
51,Student_C,School_C,True,True,School_C,1
51,Student_D,School_D,True,True,School_D,1
51,Student_E,School_E,True,True,School_E,1
52,Student_A,School_B,False,False,School_B,1
52,Student_B,School_C,False,False,School_C,2
52,Student_C,School_A,False,False,School_A,3
52,Student_D,School_D,False,False,School_D,1
52,Student_E,Unmatched,False,False,Unmatched,-
53,Student_A,School_B,False,False,School_B,1
53,Student_B,School_A,False,False,School_A,1
53,Student_C,Unmatched,False,False,Unmatched,-
53,Student_D,School_D,False,False,School_D,1
53,Student_E,School_E,False,False,School_E,1
54,Student_A,School_B,True,True,School_B,1
54,Student_B,School_A,True,True,School_A,1
54,Student_C,School_C,True,True,School_C,1
54,Student_D,School_D,True,True,School_D,1
54,Student_E,School_E,True,True,School_E,1
55,Student_A,School_B,False,False,School_B,1
55,Student_B,Unmatched,False,False,Unmatched,-
55,Student_C,School_C,False,False,School_C,1
55,Student_D,School_D,False,False,School_D,1
55,Student_E,School_E,False,False,School_E,1
56,Student_A,School_B,True,True,School_B,1
56,Student_B,School_A,True,True,School_A,1
56,Student_C,School_C,True,True,School_C,1
56,Student_D,School_D,True,True,School_D,1
56,Student_E,School_E,True,True,School_E,1
57,Student_A,School_B,True,True,School_B,1
57,Student_B,School_A,True,True,School_A,1
57,Student_C,School_C,True,True,School_C,1
57,Student_D,School_D,True,True,School_D,1
57,Student_E,School_E,True,True,School_E,1
58,Student_A,School_B,True,True,School_B,1
58,Student_B,School_A,True,True,School_A,1
58,Student_C,School_C,True,True,School_C,1
58,Student_D,School_D,True,True,School_D,1
58,Student_E,School_E,True,True,School_E,1
59,Student_A,School_B,True,True,School_B,1
59,Student_B,School_A,True,True,School_A,1
59,Student_C,School_C,True,True,School_C,1
59,Student_D,School_D,True,True,School_D,1
59,Student_E,School_E,True,True,School_E,1
60,Student_A,School_B,False,False,School_B,1
60,Student_B,School_A,False,False,School_A,1
60,Student_C,School_C,False,False,School_C,1
60,Student_D,School_D,False,False,School_D,1
60,Student_E,Unmatched,False,False,Unmatched,-
61,Student_A,School_B,True,True,School_B,1
61,Student_B,School_A,True,True,School_A,1
61,Student_C,School_C,True,True,School_C,1
61,Student_D,School_D,True,True,School_D,1
61,Student_E,School_E,True,True,School_E,1
62,Student_A,School_B,True,True,School_B,1
62,Student_B,School_A,True,True,School_A,1
62,Student_C,School_C,True,True,School_C,1
62,Student_D,School_D,True,True,School_D,1
62,Student_E,School_E,True,True,School_E,1
63,Student_A,School_B,False,False,School_B,1
63,Student_B,School_A,False,False,School_A,1
63,Student_C,School_C,False,False,School_C,1
63,Student_D,School_D,False,False,School_D,1
63,Student_E,Unmatched,False,False,Unmatched,-
64,Student_A,School_B,False,False,School_B,1
64,Student_B,School_A,False,False,School_A,1
