Trial,Agent,Matched_Partner,Stability,Efficiency,Matched_Company,Result_Rank
1,Student_A,School_C,False,False,School_C,5
1,Student_B,School_D,False,False,School_D,4
1,Student_C,School_A,False,False,School_A,4
1,Student_D,School_B,False,False,School_B,2
1,Student_E,School_E,False,False,School_E,2
2,Student_A,School_A,False,False,School_A,2
2,Student_B,School_C,False,False,School_C,5
2,Student_C,School_B,False,False,School_B,5
2,Student_D,School_D,False,False,School_D,1
2,Student_E,School_E,False,False,School_E,2
3,Student_A,School_E,False,False,School_E,4
3,Student_B,School_B,False,False,School_B,3
3,Student_C,School_A,False,False,School_A,4
3,Student_D,School_D,False,False,School_D,1
3,Student_E,School_C,False,False,School_C,3
4,Student_A,School_B,False,False,School_B,3
4,Student_B,School_C,False,False,School_C,5
4,Student_C,School_A,False,False,School_A,4
4,Student_D,School_D,False,False,School_D,1
4,Student_E,School_E,False,False,School_E,2
5,Student_A,School_A,True,True,School_A,2
5,Student_B,School_B,True,True,School_B,3
5,Student_C,School_C,True,True,School_C,2
5,Student_D,School_D,True,True,School_D,1
5,Student_E,School_E,True,True,School_E,2
6,Student_A,School_B,False,False,School_B,3
6,Student_B,School_C,False,False,School_C,5
6,Student_C,School_A,False,False,School_A,4
6,Student_D,School_D,False,False,School_D,1
6,Student_E,School_E,False,False,School_E,2
7,Student_A,School_A,False,False,School_A,2
7,Student_B,School_B,False,False,School_B,3
7,Student_C,Unmatched,False,False,Unmatched,-
7,Student_D,School_D,False,False,School_D,1
7,Student_E,School_E,False,False,School_E,2
8,Student_A,School_B,False,False,School_B,3
8,Student_B,School_C,False,False,School_C,5
8,Student_C,School_A,False,False,School_A,4
8,Student_D,School_D,False,False,School_D,1
8,Student_E,School_E,False,False,School_E,2
9,Student_A,School_E,True,False,School_E,4
9,Student_B,School_D,True,False,School_D,4
9,Student_C,School_A,True,False,School_A,4
9,Student_D,School_B,True,False,School_B,2
9,Student_E,School_C,True,False,School_C,3
10,Student_A,School_B,False,False,School_B,3
10,Student_B,School_C,False,False,School_C,5
10,Student_C,School_A,False,False,School_A,4
10,Student_D,School_D,False,False,School_D,1
10,Student_E,School_E,False,False,School_E,2
11,Student_A,School_E,True,False,School_E,4
11,Student_B,School_D,True,False,School_D,4
11,Student_C,School_A,True,False,School_A,4
11,Student_D,School_B,True,False,School_B,2
11,Student_E,School_C,True,False,School_C,3
12,Student_A,School_B,False,False,School_B,3
12,Student_B,School_C,False,False,School_C,5
12,Student_C,School_A,False,False,School_A,4
12,Student_D,School_D,False,False,School_D,1
12,Student_E,School_E,False,False,School_E,2
13,Student_A,School_C,False,False,School_C,5
13,Student_B,School_B,False,False,School_B,3
13,Student_C,School_A,False,False,School_A,4
13,Student_D,School_D,False,False,School_D,1
